ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,INVTYPE,INVAGE,INJURY,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158
Major Arterial,Toronto and East York,43.656345,-79.45249,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Driver,unknown,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,88
Major Arterial,Toronto and East York,43.656345,-79.45249,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian,60 to 79,Fatal,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,88
Major Arterial,Scarborough,43.801943,-79.199786,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Driver,40 to 59,Fatal,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,146
Major Arterial,Toronto and East York,43.699595,-79.318797,At Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Passenger,40 to 59,Major,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,60
Major Arterial,Scarborough,43.801943,-79.199786,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Driver,unknown,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,146
Major Arterial,Scarborough,43.734945,-79.25619,Other,No Control,Clear,Dark,Dry,Fatal,Driver,20 to 39,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,124
Major Arterial,Toronto and East York,43.699595,-79.318797,At Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Passenger,0 to 19,Minor,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,60
Major Arterial,Toronto and East York,43.699595,-79.318797,At Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Driver,40 to 59,Minor,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,60
Major Arterial,Scarborough,43.734945,-79.25619,Other,No Control,Clear,Dark,Dry,Fatal,Pedestrian,20 to 39,Minor,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,124
Major Arterial,Scarborough,43.734945,-79.25619,Other,No Control,Clear,Dark,Dry,Fatal,Pedestrian,40 to 59,Fatal,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,124
